ticker,group,date,open,high,low,close,volume,prev_close,change_pct,ma20,ma50,ma100,ma200,avg_volume_20d,avg_volume_50d,vol_ratio_20d,rsi14,macd,macd_signal,macd_hist,atr14,dist_ma20_pct,dist_ma50_pct,dist_ma100_pct,dist_ma200_pct,high_20d,low_20d,high_60d,low_60d,near_20d_high_pct,above_ma20,above_ma50,above_ma200,data_quality,rel_qqq_1d_pct,rel_smh_1d_pct,snapshot_generated_at_utc,snapshot_start_date,snapshot_end_date,snapshot_data_source,error
AAOI,optical_cpo,2026-06-16,194.21,196.5,169.87,170.81,13109799.0,191.55,-10.8275,178.5305,168.2574,120.925,75.4799,13467298.1624,12626373.1335,0.9735,48.8343,2.7454,4.972,-2.2266,24.5561,-4.3245,1.5171,41.2528,126.2987,209.64,149.05,233.67,78.575,-18.5222,False,True,True,historical_ohlcv_and_technicals_available,-8.927,-6.0214,2026-06-17T13:45:32.092986+00:00,2025-03-14,2026-06-17,polygon_aggregates,
ALAB,future_candidates,2026-06-16,383.64,397.66,360.89,361.71,5938643.0,389.2,-7.0632,334.5725,247.0847,189.7334,184.0428,6316736.7981,6118845.1735,0.9401,61.7422,36.0108,37.2621,-1.2513,30.8874,8.1111,46.3911,90.6412,96.5358,398.13,210.55,398.13,97.89,-9.1478,True,True,True,historical_ohlcv_and_technicals_available,-5.1627,-2.2571,2026-06-17T13:45:32.092986+00:00,2025-03-14,2026-06-17,polygon_aggregates,
ARM,market_thermometer,2026-06-16,401.0,428.6,395.88,396.34,12401970.0,412.55,-3.9292,343.374,253.2203,189.5466,164.895,13330984.2736,11208889.865,0.9303,63.9192,38.1395,38.6332,-0.4937,34.2344,15.4252,56.5198,109.099,140.3591,428.6,206.38,428.6,133.01,-7.5268,True,True,True,historical_ohlcv_and_technicals_available,-2.0287,0.8769,2026-06-17T13:45:32.092986+00:00,2025-03-14,2026-06-17,polygon_aggregates,
ASML,market_thermometer,2026-06-16,1872.01,1881.16,1802.61,1803.89,1797560.0,1892.66,-4.6902,1693.1495,1558.5912,1475.8509,1255.9759,1901180.8741,1852849.1181,0.9455,59.1927,87.9367,75.6255,12.3112,82.2603,6.5405,15.7385,22.2271,43.6246,1913.6999,1441.3106,1913.6999,1248.11,-5.7381,True,True,True,historical_ohlcv_and_technicals_available,-2.7897,0.1159,2026-06-17T13:45:32.092986+00:00,2025-03-14,2026-06-17,polygon_aggregates,
AVGO,core_portfolio,2026-06-16,390.21,391.79,376.46,376.71,31573669.0,393.94,-4.3738,414.966,409.281,366.9457,358.9103,32899182.6917,25883290.8127,0.9597,41.0331,-8.0096,-0.934,-7.0755,21.01,-9.2191,-7.9581,2.661,4.9594,495.0,370.33,495.0,289.96,-23.897,False,False,True,historical_ohlcv_and_technicals_available,-2.4733,0.4323,2026-06-17T13:45:32.092986+00:00,2025-03-14,2026-06-17,polygon_aggregates,
CEG,power,2026-06-16,263.59,272.42,261.9,268.0,3798584.0,262.35,2.1536,269.3295,284.7562,289.9818,319.6488,4187153.3059,3509887.0736,0.9072,48.2214,-9.17,-9.4575,0.2876,11.2718,-0.4936,-5.8844,-7.5804,-16.158,310.45,240.51,328.8,240.51,-13.6737,False,False,False,historical_ohlcv_and_technicals_available,4.0541,6.9597,2026-06-17T13:45:32.092986+00:00,2025-03-14,2026-06-17,polygon_aggregates,
CRDO,optical_cpo,2026-06-16,256.13,258.36,238.97,239.18,7557164.0,259.41,-7.7985,223.377,191.2451,152.3512,152.2356,9791265.412,8106673.6896,0.7718,57.503,17.4992,16.2646,1.2347,23.712,7.0746,25.0646,56.9925,57.1117,270.2117,148.9446,270.2117,86.485,-11.4842,True,True,True,historical_ohlcv_and_technicals_available,-5.898,-2.9924,2026-06-17T13:45:32.092986+00:00,2025-03-14,2026-06-17,polygon_aggregates,
CRWD,future_candidates,2026-06-16,693.098,700.87,665.96,679.49,2143954.0,692.91,-1.9368,684.231,555.1926,483.7792,486.753,3684418.2303,3500677.0888,0.5819,57.2516,34.2021,44.9546,-10.7525,35.1258,-0.6929,22.3882,40.4546,39.5965,785.66,613.29,785.66,361.8067,-13.5135,False,True,True,historical_ohlcv_and_technicals_available,-0.0363,2.8693,2026-06-17T13:45:32.092986+00:00,2025-03-14,2026-06-17,polygon_aggregates,
DRAM,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,failed_or_insufficient_history,,,2026-06-17T13:45:32.092986+00:00,2025-03-14,2026-06-17,polygon_aggregates,Need at least 60 daily bars for v0.1 fields
ETN,power,2026-06-16,409.28,415.62,407.23,407.71,1788703.0,407.06,0.1597,398.5025,403.5628,383.4715,368.1173,2459864.1346,2600832.4558,0.7272,53.1209,-0.0202,0.0055,-0.0258,15.8984,2.3105,1.0276,6.3208,10.7555,426.585,367.64,435.43,342.0,-4.4247,True,True,True,historical_ohlcv_and_technicals_available,2.0602,4.9658,2026-06-17T13:45:32.092986+00:00,2025-03-14,2026-06-17,polygon_aggregates,
GEV,core_portfolio,2026-06-16,991.85,1009.3,980.73,982.35,2761128.0,979.07,0.335,974.6015,1016.0756,918.5186,767.8056,2841804.8226,2613150.969,0.9716,50.6856,-21.878,-23.0283,1.1504,44.3021,0.795,-3.3192,6.9494,27.9425,1094.9999,856.01,1181.95,807.0,-10.2877,True,False,True,historical_ohlcv_and_technicals_available,2.2355,5.1411,2026-06-17T13:45:32.092986+00:00,2025-03-14,2026-06-17,polygon_aggregates,
GOOGL,core_portfolio,2026-06-16,369.6,376.0,367.06,373.25,24876095.0,369.35,1.0559,373.8655,365.1928,337.5014,309.5619,32747659.935,29080155.0181,0.7596,52.5198,-1.8284,-0.0579,-1.7704,10.7267,-0.1646,2.2063,10.5921,20.5736,397.15,346.36,408.61,272.11,-6.0179,False,True,True,historical_ohlcv_and_technicals_available,2.9564,5.862,2026-06-17T13:45:32.092986+00:00,2025-03-14,2026-06-17,polygon_aggregates,
LITE,optical_cpo,2026-06-16,958.475,961.68,863.41,875.36,6070807.0,957.24,-8.5538,904.666,905.4058,761.3803,505.1811,5819486.2788,5989766.9205,1.0432,47.7594,-1.5085,1.1756,-2.6842,85.6042,-3.2394,-3.3185,14.9701,73.2765,1049.53,776.01,1085.68,642.37,-16.595,False,False,True,historical_ohlcv_and_technicals_available,-6.6533,-3.7477,2026-06-17T13:45:32.092986+00:00,2025-03-14,2026-06-17,polygon_aggregates,
MRVL,core_portfolio,2026-06-16,299.13,317.0,278.13,278.67,59201345.0,308.88,-9.7805,245.7465,190.4162,137.9463,110.6996,58431468.2155,39539984.0128,1.0132,59.2924,30.7385,30.0993,0.6391,27.5452,13.3973,46.3478,102.0134,151.7354,324.2,162.852,324.2,86.61,-14.0438,True,True,True,historical_ohlcv_and_technicals_available,-7.88,-4.9744,2026-06-17T13:45:32.092986+00:00,2025-03-14,2026-06-17,polygon_aggregates,
MU,core_portfolio,2026-06-16,1099.7,1110.3999,1020.0,1020.76,45499755.0,1087.99,-6.1793,928.255,704.9418,554.0272,391.054,54445009.3684,49244005.4181,0.8357,60.4813,87.7015,92.8447,-5.1432,77.6537,9.9655,44.8006,84.2437,161.0279,1110.3999,652.21,1110.3999,311.49,-8.0728,True,True,True,historical_ohlcv_and_technicals_available,-4.2788,-1.3732,2026-06-17T13:45:32.092986+00:00,2025-03-14,2026-06-17,polygon_aggregates,
NVDA,market_thermometer,2026-06-16,211.18,211.49,207.29,207.41,125694100.0,212.45,-2.3723,213.2315,208.2082,195.3576,189.5504,173475857.3319,160380986.8123,0.7246,47.3782,-0.9659,0.4827,-1.4486,7.7926,-2.7301,-0.3834,6.1694,9.4221,232.28,199.34,236.54,164.27,-10.7069,False,False,True,historical_ohlcv_and_technicals_available,-0.4718,2.4338,2026-06-17T13:45:32.092986+00:00,2025-03-14,2026-06-17,polygon_aggregates,
PLTR,future_candidates,2026-06-16,134.59,134.59,129.62,133.25,30409932.0,134.71,-1.0838,138.6863,139.0685,142.8089,160.1835,38780258.382,45175494.9498,0.7842,45.429,-2.193,-1.1353,-1.0576,6.4722,-3.9198,-4.1839,-6.6935,-16.8142,163.7,126.65,163.7,122.68,-18.6011,False,False,False,historical_ohlcv_and_technicals_available,0.8167,3.7223,2026-06-17T13:45:32.092986+00:00,2025-03-14,2026-06-17,polygon_aggregates,
PWR,power,2026-06-16,726.0,738.0,718.88,719.29,841339.0,724.35,-0.6986,708.844,686.0224,611.7059,520.177,1096834.3291,1110100.2801,0.7671,53.787,1.1588,3.0749,-1.9161,28.6922,1.4737,4.8493,17.5876,38.2779,748.69,642.108,788.75,522.03,-3.9269,True,True,True,historical_ohlcv_and_technicals_available,1.2019,4.1075,2026-06-17T13:45:32.092986+00:00,2025-03-14,2026-06-17,polygon_aggregates,
QQQ,market_thermometer,2026-06-16,742.25,744.22,729.64,729.86,45348675.0,744.0,-1.9005,724.453,687.815,645.1936,626.9964,47866125.0985,44091064.8705,0.9474,56.3446,9.6011,12.1836,-2.5825,15.609,0.7464,6.1128,13.1226,16.4058,748.65,686.37,748.65,555.6,-2.5099,True,True,True,historical_ohlcv_and_technicals_available,0.0,2.9056,2026-06-17T13:45:32.092986+00:00,2025-03-14,2026-06-17,polygon_aggregates,
SMH,market_thermometer,2026-06-16,643.52,648.31,616.0,616.0,10949632.0,647.1,-4.8061,598.8475,538.3666,468.6542,407.6726,11054892.0022,9949679.6038,0.9905,56.9661,22.3233,24.2249,-1.9016,27.7908,2.8643,14.4202,31.4402,51.1016,649.24,527.87,649.24,359.862,-5.1198,True,True,True,historical_ohlcv_and_technicals_available,-2.9056,0.0,2026-06-17T13:45:32.092986+00:00,2025-03-14,2026-06-17,polygon_aggregates,
SNDK,memory,2026-06-16,2134.2,2167.33,1980.18,1991.55,9588497.0,2107.86,-5.5179,1691.6985,1346.8188,985.0543,593.0598,10981586.2769,13916975.7119,0.8731,66.5953,172.5774,153.0432,19.5342,146.3322,17.7249,47.8707,102.1767,235.8093,2167.33,1278.11,2167.33,558.5825,-8.1104,True,True,True,historical_ohlcv_and_technicals_available,-3.6174,-0.7118,2026-06-17T13:45:32.092986+00:00,2025-03-14,2026-06-17,polygon_aggregates,
SNOW,future_candidates,2026-06-16,240.0,246.77,234.3539,238.32,5665788.0,240.78,-1.0217,222.9585,176.4538,175.372,205.7315,11209162.7864,9360331.7053,0.5055,62.9307,19.6237,21.6049,-1.9812,14.2601,6.8898,35.0608,35.894,15.8403,284.99,161.3863,284.99,118.3,-16.376,True,True,True,historical_ohlcv_and_technicals_available,0.8788,3.7844,2026-06-17T13:45:32.092986+00:00,2025-03-14,2026-06-17,polygon_aggregates,
SPCX,special_situation,2026-06-16,200.51,225.64,195.13,201.8,322149250.0,192.5,4.8312,46.3711,31.6867,27.5892,26.3843,55027038.0204,22011814.6229,5.8544,99.8936,31.3442,11.2286,20.1157,14.3068,335.1846,536.8607,631.4461,664.848,225.64,21.68,225.64,21.62,-10.5655,True,True,True,historical_ohlcv_and_technicals_available,6.7317,9.6373,2026-06-17T13:45:32.092986+00:00,2025-03-14,2026-06-17,polygon_aggregates,
